pass,cooldown_ms,variant,e2e_ns,rcm_ns
1,0,ref+ref,30476.3,16630.7
1,0,ref+owned,30561.6,16694.6
1,0,MaybeUninit,30211.0,16324.0
1,0,inline-always,30523.4,16645.0
1,0,asm-opt,30264.2,16324.4
2,0,ref+ref,30586.2,16674.1
2,0,ref+owned,30683.3,16751.2
2,0,MaybeUninit,30382.5,16422.4
2,0,inline-always,30585.0,16684.8
2,0,asm-opt,30117.8,16250.7
3,0,ref+ref,30468.2,16617.0
3,0,ref+owned,30547.8,16686.2
3,0,MaybeUninit,30233.1,16339.7
3,0,inline-always,30587.2,16693.6
3,0,asm-opt,30346.2,16375.5
4,0,ref+ref,30613.2,16700.8
4,0,ref+owned,30656.0,16741.1
4,0,MaybeUninit,30191.4,16312.5
4,0,inline-always,30493.5,16625.9
4,0,asm-opt,30169.2,16281.4
5,0,ref+ref,30698.5,16749.7
5,0,ref+owned,30661.2,16751.7
5,0,MaybeUninit,30343.5,16399.8
5,0,inline-always,30586.8,16682.4
5,0,asm-opt,30084.0,16235.0
6,0,ref+ref,30503.7,16637.4
6,0,ref+owned,30500.4,16657.7
6,0,MaybeUninit,30220.5,16326.9
6,0,inline-always,30476.1,16626.0
6,0,asm-opt,30188.6,16291.8
7,0,ref+ref,30569.6,16683.1
7,0,ref+owned,30676.8,16757.1
7,0,MaybeUninit,30292.0,16371.2
7,0,inline-always,30619.8,16698.2
7,0,asm-opt,30206.4,16294.4
8,0,ref+ref,30565.1,16668.9
8,0,ref+owned,30760.5,16803.5
8,0,MaybeUninit,30356.4,16411.5
8,0,inline-always,30656.7,16721.8
8,0,asm-opt,30276.5,16336.8
9,0,ref+ref,30644.5,16710.8
9,0,ref+owned,30807.4,16829.3
9,0,MaybeUninit,30381.5,16404.3
9,0,inline-always,30661.1,16722.7
9,0,asm-opt,30312.5,16361.0
10,0,ref+ref,30574.5,16677.4
10,0,ref+owned,30802.0,16830.2
10,0,MaybeUninit,30474.8,16472.8
10,0,inline-always,30758.2,16780.7
10,0,asm-opt,30404.9,16414.1
1,100,ref+ref,33397.2,18219.3
1,100,ref+owned,34613.7,18896.0
1,100,MaybeUninit,34244.0,18500.8
1,100,inline-always,34308.8,18716.2
1,100,asm-opt,33696.4,18174.5
2,100,ref+ref,34813.7,18976.9
2,100,ref+owned,34157.6,18658.4
2,100,MaybeUninit,33439.1,18058.7
2,100,inline-always,32629.9,17795.3
2,100,asm-opt,33483.8,18057.9
3,100,ref+ref,34352.7,18725.3
3,100,ref+owned,34533.6,18842.6
3,100,MaybeUninit,34137.8,18435.0
3,100,inline-always,34527.1,18818.3
3,100,asm-opt,33154.6,17880.2
4,100,ref+ref,33080.8,18049.7
4,100,ref+owned,32751.0,17900.2
4,100,MaybeUninit,31967.0,17279.4
4,100,inline-always,32549.7,17756.3
4,100,asm-opt,31901.3,17221.4
5,100,ref+ref,31841.5,17378.9
5,100,ref+owned,33863.9,18503.4
5,100,MaybeUninit,33902.5,18324.1
5,100,inline-always,32977.9,17996.1
5,100,asm-opt,33292.5,17964.0
6,100,ref+ref,32373.2,17663.9
6,100,ref+owned,33045.7,18057.4
6,100,MaybeUninit,33163.6,17923.0
6,100,inline-always,32266.2,17601.2
6,100,asm-opt,32059.4,17306.7
7,100,ref+ref,32674.7,17824.6
7,100,ref+owned,33263.9,18172.0
7,100,MaybeUninit,33592.4,18156.0
7,100,inline-always,32332.2,17638.9
7,100,asm-opt,33629.8,18141.0
8,100,ref+ref,32917.3,17960.8
8,100,ref+owned,33327.2,18208.3
8,100,MaybeUninit,34021.6,18379.5
8,100,inline-always,32974.7,17993.0
8,100,asm-opt,31757.7,17138.1
9,100,ref+ref,32877.7,17949.0
9,100,ref+owned,33388.0,18231.7
9,100,MaybeUninit,32813.2,17735.5
9,100,inline-always,33098.4,18059.2
9,100,asm-opt,32820.9,17716.4
10,100,ref+ref,32662.9,17823.0
10,100,ref+owned,32863.4,17956.9
10,100,MaybeUninit,33985.7,18358.9
10,100,inline-always,32892.5,17948.9
10,100,asm-opt,32907.0,17754.5
1,600,ref+ref,37365.3,20364.1
1,600,ref+owned,37572.3,20512.4
1,600,MaybeUninit,36411.0,19652.4
1,600,inline-always,37258.0,20310.4
1,600,asm-opt,36874.8,19854.6
2,600,ref+ref,37903.0,20660.2
2,600,ref+owned,36502.6,19929.5
2,600,MaybeUninit,37667.8,20318.7
2,600,inline-always,37472.6,20420.8
2,600,asm-opt,37542.7,20208.0
3,600,ref+ref,36218.3,19750.1
3,600,ref+owned,35825.3,19561.3
3,600,MaybeUninit,34097.4,18421.4
3,600,inline-always,35147.8,19172.2
3,600,asm-opt,35601.5,19180.3
4,600,ref+ref,36462.6,19891.4
4,600,ref+owned,37374.8,20396.7
4,600,MaybeUninit,34775.3,18777.6
4,600,inline-always,36074.9,19667.3
4,600,asm-opt,34475.1,18583.3
5,600,ref+ref,35189.3,19185.6
5,600,ref+owned,35664.1,19474.3
5,600,MaybeUninit,36104.7,19499.4
5,600,inline-always,36383.1,19854.0
5,600,asm-opt,33706.1,18182.1
6,600,ref+ref,35539.6,19391.2
6,600,ref+owned,36675.4,20029.0
6,600,MaybeUninit,34782.3,18786.7
6,600,inline-always,35800.2,19521.9
6,600,asm-opt,35063.7,18892.8
7,600,ref+ref,34855.9,19018.1
7,600,ref+owned,36395.6,19876.4
7,600,MaybeUninit,34735.2,18757.7
7,600,inline-always,34491.6,18810.5
7,600,asm-opt,34432.4,18568.4
8,600,ref+ref,35946.9,19609.6
8,600,ref+owned,36052.3,19683.6
8,600,MaybeUninit,35879.2,19383.6
8,600,inline-always,33104.0,18063.8
8,600,asm-opt,33605.2,18134.2
9,600,ref+ref,35206.4,19214.3
9,600,ref+owned,36103.0,19719.0
9,600,MaybeUninit,36217.5,19553.1
9,600,inline-always,34857.1,19017.9
9,600,asm-opt,33731.0,18198.7
10,600,ref+ref,37592.9,20754.1
10,600,ref+owned,36090.5,19717.5
10,600,MaybeUninit,34733.0,18775.8
10,600,inline-always,36362.4,19841.0
10,600,asm-opt,35154.9,18954.6
