pass,cooldown_ms,variant,e2e_ns,rcm_ns
5,600,asm-opt,36730.3,19780.1
6,600,ref+ref,37372.1,20389.0
6,600,ref+owned,36443.8,19925.5
6,600,MaybeUninit,35582.0,19224.1
6,600,inline-always,38018.9,20740.9
6,600,asm-opt,35820.9,19326.5
7,600,ref+ref,36539.7,19937.3
7,600,ref+owned,35686.9,19506.8
7,600,MaybeUninit,36935.2,19950.0
7,600,inline-always,37108.3,20254.0
7,600,asm-opt,35950.8,19371.1
8,600,ref+ref,36840.7,20108.6
8,600,ref+owned,37175.4,20314.8
8,600,MaybeUninit,35576.7,19236.9
8,600,inline-always,34661.1,18930.1
8,600,asm-opt,35385.3,19073.5
9,600,ref+ref,37592.7,20503.5
9,600,ref+owned,37693.2,20592.9
9,600,MaybeUninit,36077.8,19485.5
9,600,inline-always,37832.1,20640.7
9,600,asm-opt,36711.5,19776.3
10,600,ref+ref,36415.5,19866.6
10,600,ref+owned,36593.8,19996.3
10,600,MaybeUninit,35212.6,19023.4
10,600,inline-always,36675.9,20008.8
10,600,asm-opt,35030.1,18884.0
