pass,cooldown_ms,variant,e2e_ns,rcm_ns
1,0,ref+ref,30544.4,16689.0
1,0,ref+owned,30775.9,16844.9
1,0,MaybeUninit,30394.1,16455.1
1,0,inline-always,30652.0,16755.7
1,0,asm-opt,30275.4,16363.2
2,0,ref+ref,30586.6,16715.2
2,0,ref+owned,30736.4,16822.9
2,0,MaybeUninit,30404.0,16457.7
2,0,inline-always,30808.5,16838.6
2,0,asm-opt,30457.0,16472.6
3,0,ref+ref,30829.8,16851.0
3,0,ref+owned,30822.7,16871.0
3,0,MaybeUninit,30259.1,16381.7
3,0,inline-always,30633.2,16742.7
3,0,asm-opt,30464.2,16466.7
4,0,ref+ref,30670.4,16766.0
4,0,ref+owned,30763.2,16835.6
4,0,MaybeUninit,30244.7,16364.9
4,0,inline-always,30430.5,16628.1
4,0,asm-opt,30222.3,16338.1
5,0,ref+ref,30773.5,16817.1
5,0,ref+owned,30792.5,16852.9
5,0,MaybeUninit,30252.1,16376.4
5,0,inline-always,30491.9,16660.5
5,0,asm-opt,30165.6,16303.9
6,0,ref+ref,30700.2,16775.1
6,0,ref+owned,31013.6,16970.1
6,0,MaybeUninit,30177.2,16333.1
6,0,inline-always,30800.6,16828.2
6,0,asm-opt,30507.6,16494.9
7,0,ref+ref,30839.6,16848.7
7,0,ref+owned,30719.6,16810.6
7,0,MaybeUninit,30391.3,16447.0
7,0,inline-always,31087.9,16984.6
7,0,asm-opt,30755.6,16622.0
8,0,ref+ref,30840.9,16853.2
8,0,ref+owned,30995.3,16967.9
8,0,MaybeUninit,30436.1,16464.0
8,0,inline-always,30753.4,16796.0
8,0,asm-opt,30193.0,16321.0
9,0,ref+ref,30721.6,16779.3
9,0,ref+owned,30837.8,16867.9
9,0,MaybeUninit,30366.0,16436.1
9,0,inline-always,30818.0,16833.2
9,0,asm-opt,30524.0,16501.7
10,0,ref+ref,30943.3,16895.8
10,0,ref+owned,30925.1,16908.5
10,0,MaybeUninit,30593.8,16557.0
10,0,inline-always,30665.1,16745.4
10,0,asm-opt,30221.4,16326.5
1,100,ref+ref,32802.7,17922.9
1,100,ref+owned,33310.7,18224.8
1,100,MaybeUninit,34123.9,18457.5
1,100,inline-always,34234.6,18707.1
1,100,asm-opt,34182.2,18459.6
2,100,ref+ref,34468.9,18816.6
2,100,ref+owned,34671.3,18965.5
2,100,MaybeUninit,33804.1,18293.9
2,100,inline-always,34248.6,18704.1
2,100,asm-opt,34110.9,18427.1
3,100,ref+ref,32772.6,17900.9
3,100,ref+owned,32726.7,17891.0
3,100,MaybeUninit,34125.9,18458.3
3,100,inline-always,34414.2,18792.7
3,100,asm-opt,33752.5,18238.5
4,100,ref+ref,34455.3,18816.3
4,100,ref+owned,34299.2,18750.1
4,100,MaybeUninit,34111.1,18450.2
4,100,inline-always,34431.7,18803.1
4,100,asm-opt,33801.0,18256.1
5,100,ref+ref,32610.8,17818.9
5,100,ref+owned,33206.1,18159.9
5,100,MaybeUninit,33816.6,18296.1
5,100,inline-always,34458.9,18820.3
5,100,asm-opt,33531.1,18113.0
6,100,ref+ref,34371.6,18769.8
6,100,ref+owned,33948.9,18571.5
6,100,MaybeUninit,34254.4,18531.2
6,100,inline-always,34479.8,18821.8
6,100,asm-opt,32410.7,17508.0
7,100,ref+ref,32452.4,17724.6
7,100,ref+owned,33574.9,18362.9
7,100,MaybeUninit,33984.8,18391.7
7,100,inline-always,34512.4,18853.8
7,100,asm-opt,33656.0,18179.6
8,100,ref+ref,34326.2,18745.2
8,100,ref+owned,35762.2,19567.9
8,100,MaybeUninit,34050.6,18429.3
8,100,inline-always,34625.6,18906.5
8,100,asm-opt,32670.6,17660.6
9,100,ref+ref,32361.9,17693.5
9,100,ref+owned,33268.7,18201.3
9,100,MaybeUninit,34168.0,18472.7
9,100,inline-always,34183.6,18671.1
9,100,asm-opt,34236.9,18484.3
10,100,ref+ref,34179.6,18667.5
10,100,ref+owned,34538.0,18888.9
10,100,MaybeUninit,33875.1,18331.9
10,100,inline-always,34323.7,18738.4
10,100,asm-opt,32303.5,17468.2
1,600,ref+ref,36387.8,19872.4
1,600,ref+owned,37716.6,20620.8
1,600,MaybeUninit,36012.3,19478.5
1,600,inline-always,35586.4,19437.3
1,600,asm-opt,36307.3,19587.8
2,600,ref+ref,35316.4,19292.0
2,600,ref+owned,35696.3,19523.7
2,600,MaybeUninit,34236.0,18525.6
2,600,inline-always,37600.5,20520.3
2,600,asm-opt,36098.3,19476.9
3,600,ref+ref,36218.9,19783.4
3,600,ref+owned,34294.9,18765.0
3,600,MaybeUninit,35151.6,19012.7
3,600,inline-always,35208.4,19235.1
3,600,asm-opt,35406.8,19095.6
4,600,ref+ref,36561.8,19964.6
4,600,ref+owned,37906.7,20714.7
4,600,MaybeUninit,37714.0,20385.9
4,600,inline-always,35475.9,19377.6
4,600,asm-opt,34129.9,18437.9
5,600,ref+ref,35543.0,19419.6
5,600,ref+owned,37499.1,20502.1
5,600,MaybeUninit,35975.4,19450.9
5,600,inline-always,35578.3,19440.0
5,600,asm-opt,34327.7,18531.9
6,600,ref+ref,35140.6,19199.0
6,600,ref+owned,36508.3,19965.4
6,600,MaybeUninit,34545.9,18684.9
6,600,inline-always,37382.3,20412.8
6,600,asm-opt,35555.1,19177.7
7,600,ref+ref,36646.7,20007.1
7,600,ref+owned,35210.5,19251.1
7,600,MaybeUninit,36353.6,19653.6
7,600,inline-always,34690.1,18949.1
7,600,asm-opt,34928.6,18865.2
8,600,ref+ref,34937.9,19089.7
8,600,ref+owned,35028.3,19164.6
8,600,MaybeUninit,35907.2,19428.9
8,600,inline-always,35948.4,19636.2
8,600,asm-opt,36105.8,19484.0
9,600,ref+ref,35971.0,19649.4
9,600,ref+owned,34656.9,18965.0
9,600,MaybeUninit,36006.3,19475.4
9,600,inline-always,34245.4,18708.5
9,600,asm-opt,33818.2,18259.6
10,600,ref+ref,35484.9,19379.9
10,600,ref+owned,36587.3,20018.4
10,600,MaybeUninit,35422.7,19159.9
10,600,inline-always,36745.2,20063.2
10,600,asm-opt,35533.8,19178.2
